screening_date,company,symbol,exchange,listing_board,sector,industry,current_price_inr,price_date,market_cap_inr_cr,market_cap_date,liquidity_metric_name,liquidity_value_inr_cr,liquidity_period,eligible_flag,exclusion_code,exclusion_reason,primary_archetype,classification_rationale,secondary_tags,technical_stage,technical_data_date,revenue_cagr_5y_pct,normalized_eps_cagr_5y_pct,latest_roce_or_roe_pct,median_roce_or_roe_5y_pct,net_debt_to_equity,cfo_pat_period,cfo_pat_ratio,preliminary_valuation_method,preliminary_valuation_value,preliminary_priority_score,inclusion_reason,key_disqualifying_risk,data_quality_confidence,primary_source_ids,secondary_source_ids
2026-08-11,Northern Arc Capital Ltd,NORTHARC,NSE,Main Board,Not disclosed,Not disclosed,285.0,2026-08-10,4618.0,2026-08-10,3-month median daily traded value,23.413,13-week median of weekly traded value / 5,1,,,Financial compounder,ROE 11.1%; 5y EPS CAGR 27%,Earnings-upgrade candidate|Capex commissioning|Demerger/SOTP unlocking|Governance risk,Early Stage 2,2026-08-10,31.590902237128414,26.75533684454234,11.1,12.0,,Mar 2022-Mar 2026,,P/B vs ROE (preliminary),10.5,51.2,ROE 11.1%; 5y EPS CAGR 27%,Equity capital up 84% in 5y - dilution,Low,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NORTHARC-SCR-01|NORTHARC-PXW-01
2026-08-11,Novartis India Ltd,NOVARTIND,NSE,Main Board,Not disclosed,Not disclosed,1607.4,2026-08-10,,2026-08-10,3-month median daily traded value,4.175,13-week median of weekly traded value / 5,0,EX_NO_MCAP,Market capitalisation not available from any source,,,,Mature/extended Stage 2,2026-08-10,,,,,,,,Trailing P/E vs 3-5y EPS CAGR (preliminary),,,,None identified at Phase 1 depth,Low,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NOVARTIND-SCR-01|NOVARTIND-PXW-01
2026-08-11,Network People Services Technologies Ltd,NPST,NSE,Main Board,Not disclosed,Not disclosed,1565.0,2026-08-10,3267.0,2026-08-10,3-month median daily traded value,4.768,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 68%; 3y EPS CAGR 80%; latest quarter revenue +82% YoY,Governance risk|Earnings-upgrade candidate|PEAD candidate|Value-trap risk,Early Stage 1,2026-08-10,67.02776523348103,89.55905723933624,19.7,35.0,0.031746031746031744,Mar 2022-Mar 2026,0.4262295081967213,Trailing P/E vs 3-5y EPS CAGR (preliminary),80.0,58.9,3y revenue CAGR 68%; 3y EPS CAGR 80%; latest quarter revenue +82% YoY,Weak cash conversion (cumulative CFO/PAT below 0.6),High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NPST-SCR-01|NPST-PXW-01
2026-08-11,N R Agarwal Industries Ltd,NRAIL,NSE,Main Board,Not disclosed,Not disclosed,527.75,2026-08-10,,2026-08-10,3-month median daily traded value,0.165,13-week median of weekly traded value / 5,0,EX_NO_MCAP,Market capitalisation not available from any source,,,,Stage 3 distribution,2026-08-10,,,,,,,,Trailing P/E vs 3-5y EPS CAGR (preliminary),,,,Technically in Stage 3 distribution,Low,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NRAIL-SCR-01|NRAIL-PXW-01
2026-08-11,NRB Bearings Ltd,NRBBEARING,NSE,Main Board,Not disclosed,Not disclosed,478.0,2026-08-10,4628.0,2026-08-10,3-month median daily traded value,16.712,13-week median of weekly traded value / 5,1,,,Quality compounder,5y EPS CAGR 21%; cumulative CFO/PAT 0.81,Peak-cycle risk|Governance risk,Mature/extended Stage 2,2026-08-10,11.867841618805963,21.426565005006815,18.4,16.0,0.1600831600831601,Mar 2022-Mar 2026,0.8052959501557633,Trailing P/E vs 3-5y EPS CAGR (preliminary),31.0,58.2,5y EPS CAGR 21%; cumulative CFO/PAT 0.81,Promoter stake down 6.5pp over 4 quarters,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NRBBEARING-SCR-01|NRBBEARING-PXW-01
2026-08-11,Nalwa Sons Investments Ltd,NSIL,NSE,Main Board,Not disclosed,Not disclosed,5700.0,2026-08-10,2935.0,2026-08-10,3-month median daily traded value,1.124,13-week median of weekly traded value / 5,1,,,Asset-value/SOTP opportunity,balance-sheet investments = 570% of market cap; trades at 0.19x book,Demerger/SOTP unlocking,Early Stage 1,2026-08-10,8.55487065592062,4.853043638018217,0.48,1.0,0.00019771963355961247,Mar 2022-Mar 2026,0.8364779874213837,Trailing P/E vs 3-5y EPS CAGR (preliminary),53.0,50.3,balance-sheet investments = 570% of market cap; trades at 0.19x book,None identified at Phase 1 depth,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NSIL-SCR-01|NSIL-PXW-01
2026-08-11,NMDC Steel Ltd,NSLNISP,NSE,Main Board,Metals & Mining,Metals & Mining,44.67,2026-08-10,,2026-08-10,3-month median daily traded value,15.599,13-week median of weekly traded value / 5,0,EX_NO_MCAP,Market capitalisation not available from any source,,,,Early Stage 2,2026-08-10,,,,,,,,Trailing P/E vs 3-5y EPS CAGR (preliminary),,,,None identified at Phase 1 depth,Low,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NSLNISP-SCR-01|NSLNISP-PXW-01
2026-08-11,NTPC Ltd,NTPC,NSE,Main Board,Power,Power,340.0,2026-08-10,327057.0,2026-08-10,3-month median daily traded value,382.266,13-week median of weekly traded value / 5,0,EX_MCAP_ABOVE_BAND,"Market cap INR 327,057 cr > 1,00,000 cr",,,,Stage 3 distribution,2026-08-10,10.934099955026122,13.079269095332148,8.33,10.0,1.3338435642004962,Mar 2022-Mar 2026,2.154828269979048,Trailing P/E vs 3-5y EPS CAGR (preliminary),11.8,,,Technically in Stage 3 distribution,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NTPC-SCR-01|NTPC-PXW-01
2026-08-11,NTPC Green Energy Ltd,NTPCGREEN,NSE,Main Board,Power,Power,91.9,2026-08-10,77421.0,2026-08-10,3-month median daily traded value,31.985,13-week median of weekly traded value / 5,1,,,High-growth company,3y revenue CAGR 156%; latest quarter revenue +49% YoY,Earnings-upgrade candidate|Capex commissioning,Mature Stage 1 base,2026-08-10,,,3.53,5.0,1.6723437911943053,Mar 2024-Mar 2026,,Trailing P/E vs 3-5y EPS CAGR (preliminary),128.0,53.4,3y revenue CAGR 156%; latest quarter revenue +49% YoY,None identified at Phase 1 depth,Medium,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NTPCGREEN-SCR-01|NTPCGREEN-PXW-01
2026-08-11,Nucleus Software Exports Ltd,NUCLEUS,NSE,Main Board,Not disclosed,Not disclosed,706.0,2026-08-10,1872.0,2026-08-10,3-month median daily traded value,2.38,13-week median of weekly traded value / 5,1,,,Cyclical recovery,OPM 13.0pp below 5y peak; PAT 39% below 5y peak; quarterly OPM +5.0pp YoY - margin inflecting,Operating-leverage inflection|Margin-recovery candidate,Stage 4 decline,2026-08-10,11.252094861449159,1.77256985774783,16.8,23.0,0.009922822491730982,Mar 2022-Mar 2026,0.9329173166926678,Trailing P/E vs 3-5y EPS CAGR (preliminary),16.4,63.3,OPM 13.0pp below 5y peak; PAT 39% below 5y peak; quarterly OPM +5.0pp YoY - margin inflecting,Technically in Stage 4 decline,High,NSE-EQL-2026-08-10|NSE-BHAV-2026-08-10,NUCLEUS-SCR-01|NUCLEUS-PXW-01
